Identifiant	Date	Heure	Site_indice	Site_nom	Text	Sex	Poids	Check_saltans
SC/P/2/N5	21-avr	11h	SC	Sant-cyr	20.3	F	0.0311	ok
SC/P/2/N6	21-avr	11h	SC	Sant-cyr	20.3	F	0.0213	ok
SC/P/2/N7	21-avr	11h	SC	Sant-cyr	20.3	F	0.0223	ok
SC/P/2/N8	21-avr	11h	SC	Sant-cyr	20.3	M	0.0121	ok
SC/P/2/N9	21-avr	11h	SC	Sant-cyr	20.3	M	0.01	ok
SC/P/N1	18-mars	13h	SC	Saint-Cyr	17.5	F	0.0207	juv
SC/P/N10	18-mars	13h	SC	Saint-Cyr	17.5	F	0.0138	juv
SC/P/N11	18-mars	13h	SC	Saint-Cyr	17.5	F	0.0122	juv
SC/P/N12	18-mars	13h	SC	Saint-Cyr	17.5	M	0.0131	juv
SC/P/N13	18-mars	13h	SC	Saint-Cyr	17.5	F	0.024	juv
SC/P/N14	18-mars	13h	SC	Saint-Cyr	17.5	M	0.0244	ok
SC/P/N15	21-mars	13h	SC	Saint-Cyr	21.6	F	0.0243	juv
SC/P/N16	21-mars	13h	SC	Saint-Cyr	21.6	M	0.0156	juv
SC/P/N17	21-mars	13h	SC	Saint-Cyr	21.6	F	0.023	juv
SC/P/N18	21-mars	13h	SC	Saint-Cyr	21.6	M	0.0142	juv
SC/P/N19	21-mars	13h	SC	Saint-Cyr	21.6	M	0.0126	juv
SC/P/N2	18-mars	13h	SC	Saint-Cyr	17.5	M	0.024	juv
SC/P/N20	21-mars	13h	SC	Saint-Cyr	21.6	F	0.0256	juv
SC/P/N21	21-mars	13h	SC	Saint-Cyr	21.6	M	0.0123	juv
SC/P/N22	21-mars	13h	SC	Saint-Cyr	21.6	F	0.0237	juv
SC/P/N23	21-mars	13h	SC	Saint-Cyr	21.6	M	0.0137	juv
SC/P/N24	21-mars	13h	SC	Saint-Cyr	21.6	M	0.0141	juv
SC/P/N25	21-mars	13h	SC	Saint-Cyr	21.6	F	0.0203	juv
SC/P/N27	21-mars	13h	SC	Saint-Cyr	21.6	M	0.0131	juv
SC/P/N28	21-mars	13h	SC	Saint-Cyr	21.6	F	0.0226	juv
SC/P/N29	29-mars	9h30	SC	Saint-Cyr	12.7	M	0.0156	ok
SC/P/N3	18-mars	13h	SC	Saint-Cyr	17.5	M	0.0144	juv
SC/P/N30	29-mars	9h30	SC	Saint-Cyr	12.7	F	0.0192	juv
SC/P/N31	29-mars	9h30	SC	Saint-Cyr	12.7	F	0.024	juv
SC/P/N32	29-mars	9h30	SC	Saint-Cyr	12.7	F	0.0271	ok
SC/P/N33	29-mars	9h30	SC	Saint-Cyr	12.7	M	0.0198	juv
SC/P/N34	29-mars	9h30	SC	Saint-Cyr	12.7	F	0.0295	ok
SC/P/N35	29-mars	9h30	SC	Saint-Cyr	12.7	M	0.0162	juv
SC/P/N36	29-mars	9h30	SC	Saint-Cyr	12.7	F	0.0263	juv
SC/P/N37	29-mars	9h30	SC	Saint-Cyr	12.7	F	0.0295	juv
SC/P/N38	29-mars	9h30	SC	Saint-Cyr	12.7	M	0.0134	ok
SC/P/N39	29-mars	9h30	SC	Saint-Cyr	12.7	M	0.013	juv
SC/P/N4	18-mars	13h	SC	Saint-Cyr	17.5	M	0.0159	juv
SC/P/N40	29-mars	9h30	SC	Saint-Cyr	12.7	F	0.0158	juv
SC/P/N41	29-mars	9h30	SC	Saint-Cyr	12.7	F	0.0201	ok
SC/P/N42	29-mars	9h30	SC	Saint-Cyr	12.7	F	0.027	juv
SC/P/N5	18-mars	13h	SC	Saint-Cyr	17.5	M	0.0129	juv
SC/P/N6	18-mars	13h	SC	Saint-Cyr	17.5	F	0.0106	juv
SC/P/N7	18-mars	13h	SC	Saint-Cyr	17.5	M	0.0099	juv
SC/P/N8	18-mars	13h	SC	Saint-Cyr	17.5	F	0.0317	juv
SC/P/N9	18-mars	13h	SC	Saint-Cyr	17.5	M	0.0134	juv
