Identifiant	Date	Heure	Site_indice	Site_nom	Text	Sex	Poids	Check_saltans
L1/P/N13	22-mars	10h30	L1	Coulee-verte	14.4	M	0.0146	juv
L1/P/N14	22-mars	10h30	L1	Coulee-verte	14.4	F	0.0211	juv
L1/P/N15	28-mars	9h30	L1	Coulee-verte	12	F	0.0205	ok
L1/P/N16	28-mars	9h30	L1	Coulee-verte	12	F	0.0311	juv
L1/P/N17	28-mars	9h30	L1	Coulee-verte	12	F	0.0267	ok
L1/P/N18	28-mars	9h30	L1	Coulee-verte	12	M	0.0122	ok
L1/P/N19	28-mars	9h30	L1	Coulee-verte	12	M	0.013	ok
L1/P/N2	22-mars	10h30	L1	Coulee-verte	14.4	F	0.0248	juv
L1/P/N20	28-mars	9h30	L1	Coulee-verte	12	F	0.0221	juv
L1/P/N21	28-mars	9h30	L1	Coulee-verte	12	M	0.0154	ok
L1/P/N22	28-mars	9h30	L1	Coulee-verte	12	M	0.0136	ok
L1/P/N23	28-mars	9h30	L1	Coulee-verte	12	F	0.0207	ok
L1/P/N24	28-mars	9h30	L1	Coulee-verte	12	M	0.0142	ok
L1/P/N25	28-mars	9h30	L1	Coulee-verte	12	F	0.0124	ok
L1/P/N26	28-mars	9h30	L1	Coulee-verte	12	F	0.0248	ok
L1/P/N27	28-mars	9h30	L1	Coulee-verte	12	F	0.0175	juv
L1/P/N28	28-mars	9h30	L1	Coulee-verte	12	M	0.0126	ok
L1/P/N29	28-mars	9h30	L1	Coulee-verte	12	F	0.0349	ok
L1/P/N3	22-mars	10h30	L1	Coulee-verte	14.4	F	0.0193	juv
L1/P/N30	28-mars	9h30	L1	Coulee-verte	12	M	0.0147	ok
L1/P/N31	28-mars	9h30	L1	Coulee-verte	12	M	0.0138	ok
L1/P/N32	28-mars	9h30	L1	Coulee-verte	12	M	0.0136	ok
L1/P/N33	28-mars	9h30	L1	Coulee-verte	12	M	0.0138	ok
L1/P/N34	28-mars	9h30	L1	Coulee-verte	12	F	0.0367	ok
L1/P/N35	28-mars	9h30	L1	Coulee-verte	12	F	0.0193	ok
L1/P/N36	28-mars	9h30	L1	Coulee-verte	12	F	0.0284	ok
L1/P/N37	28-mars	9h30	L1	Coulee-verte	12	F	0.0212	ok
L1/P/N38	28-mars	9h30	L1	Coulee-verte	12	M	0.0131	ok
L1/P/N39	28-mars	9h30	L1	Coulee-verte	12	F	0.0153	ok
L1/P/N4	22-mars	10h30	L1	Coulee-verte	14.4	M	0.0146	ok
