	Identifiant	Dev_stage.x	Site.x	UHI_class_2021.x	UHI_12_02_pixel.x	UHI_03_04_pixel.x	UHI_09_04_pixel.x	Session.x	Dispositif.x	Min1	Min2	Min3	Min4	Min5	Min6	Min7	Min8	Min9	Min10	Min11	Min12	Min13	Min14	Min15	Min16	Min17	Min18	Min19	Min20	Min21	Min22	Min23	Min24	Min25	Min26	Min27	Min28	Min29	Min30	Min31	Min32	Min33	Min34	Min35	Min36	Min37	Min38	Min39	Min40	Min41	Min42	Min43	Min44	Min45	Min46	Min47	Min48	Min49	Min50	Min51	Min52	Min53	Min54	Min55	Min56	Min57	Min58	Min59	Min60	Min61	Min62	Min63	Min64	Min65	Min66	Min67	Min68	Min69	Min70	Min71	Min72	Min73	Min74	Min75	Min76	Min77	Min78	Min79	Min80	Min81	Min82	Min83	Min84	Min85	Min86	Min87	Min88	Min89	Min90
466	R/P/N8	Juvenile	R	High	2.100	2.5	2.3625	1	A	27.7	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	29.9	30.2	30.4	30.4	30.4	30.4	30.4	30.4	30.4	30.4	30.4	30.4	30.4	30.4	30.4	32	32	32	32	32	32	32	32	32	32	32	32	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	34.5	38.2	34.9	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	32	32	32	32	32	32	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7
467	R/P/N9	Juvenile	R	High	2.100	2.5	2.3625	1	A	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	33.1	33.1	33.1	33.1
468	R2/P/2/N1	Adult	R2	High	1.900	2.3	2.1125	2	A	27.7	27.5	27.5	27.5	27.5	27.2	27.7	21.6	34.9	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	32.9	32.9	32.9	32.9	32.9	32.9	30.4	32	28.4	32	34.9	30.8	19.2	17.2	33.3	32.7	26.3	29	29.5	26.6	29.9	29.9	31.3	27.5	29.9	18	31.5	34.9	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	32.9	32.9	32.9	32.9	32.9	32.9	31.5	30.6	31.1	31.1	23.7	33.1	34.5	25.9	33.3	32.2	32.2	32.2	32.2
469	R2/P/2/N10	Adult	R2	High	1.900	2.3	2.1125	2	A	30.4	31.5	31.3	30.8	30	24.1	32.6	27.3	30.5	15.4	15.4	26.6	24.7	36	37.8	31.3	37.1	27	38	34	28.4	30.8	33.8	29	37.8	33.8	30.9	32.2	31.8	31.1	32.7	32.7	33.1	33.1	33.1	33.1	33.1	32.2	32.2	32.2	32.7	32.7	32.7	32.7	32.7	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	34.4	33.8	33.8	33.8	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1
470	R2/P/2/N11	Adult	R2	High	1.900	2.3	2.1125	2	A	29	37.8	33.8	30.9	32.2	31.8	31.1	32.7	30.4	31.5	31.3	30.8	30	24.1	32.6	27.3	30.5	15.4	15.4	26.6	24.7	36	37.8	31.3	37.1	27	38	34	28.4	30.8	33.8	29	28.6	34.5	29.9	34	29.5	28.1	15.4	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8
471	R2/P/2/N12	Adult	R2	High	1.900	2.3	2.1125	2	A	36.2	36.2	35.6	35.3	35.3	35.3	34.9	34.9	34.9	34.9	34.4	34.4	34.4	34.4	34.4	34.4	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.6	33.6	33.6	33.6	NA	NA	33.8	33.8	33.8	31.3	31.1	30.9	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	30.2	30.2	30.2	30.2	30	30	30	30	30	30	30	30
472	R2/P/2/N13	Adult	R2	High	1.900	2.3	2.1125	2	A	32.7	32.7	35.3	35.3	35.3	35.3	35.3	35.3	35.1	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	30.2	30.6	30.6	30.6	30.6	35.3	34.4	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7
473	R2/P/2/N14	Adult	R2	High	1.900	2.3	2.1125	2	A	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	33.3	33.3	33.3	33.3	27.2	27.5	30.6	30.6	30.6	30.6	30.6	34.2	33.5	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	28.6	29.7	34.4
474	R2/P/2/N15	Adult	R2	High	1.900	2.3	2.1125	2	B	35	34	34	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	36.8	36.8	37.8	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5
475	R2/P/2/N16	Adult	R2	High	1.900	2.3	2.1125	2	B	31.9	30.3	30.3	30.1	30.1	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	28.6	37	35.3	35.5	35.3	32.5	35.5	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3
476	R2/P/2/N17	Adult	R2	High	1.900	2.3	2.1125	2	B	20	29.6	33.6	17.5	28.2	28.2	28.2	28.2	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	20.5	37.7	37.7	32.6	36.3	36.3	36.3	36.3	34.3	37	37.7	37.7	37.7
