	Identifiant	Dev_stage.x	Site.x	UHI_class_2021.x	UHI_12_02_pixel.x	UHI_03_04_pixel.x	UHI_09_04_pixel.x	Session.x	Dispositif.x	Min1	Min2	Min3	Min4	Min5	Min6	Min7	Min8	Min9	Min10	Min11	Min12	Min13	Min14	Min15	Min16	Min17	Min18	Min19	Min20	Min21	Min22	Min23	Min24	Min25	Min26	Min27	Min28	Min29	Min30	Min31	Min32	Min33	Min34	Min35	Min36	Min37	Min38	Min39	Min40	Min41	Min42	Min43	Min44	Min45	Min46	Min47	Min48	Min49	Min50	Min51	Min52	Min53	Min54	Min55	Min56	Min57	Min58	Min59	Min60	Min61	Min62	Min63	Min64	Min65	Min66	Min67	Min68	Min69	Min70	Min71	Min72	Min73	Min74	Min75	Min76	Min77	Min78	Min79	Min80	Min81	Min82	Min83	Min84	Min85	Min86	Min87	Min88	Min89	Min90
108	L1/P/2/N18	Adult	L1	Low	1.100	1	1.0250	2	B	22.5	27.2	30.4	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35	35	35	35	35	35	35	35	35	35	34.6	34.3	34	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3
109	L1/P/2/N19	Adult	L1	Low	1.100	1	1.0250	2	B	16.8	25.4	25.4	27.4	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	29.9	29.9	38	24.7	24.7	27.4	27.4	30.9	30.9	30.9	31.4	31.4	31.4	25.4	25.6	27.6	29.9	29.9	29.9	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	17.5	25.6	27.2	27.2	29.6	29.9	29.9	29.9	19.3	25.4	25.4	27.2	27.4	28.9	28.9	28.9	23.7	26.6	26.6	28.2	28.2	30.6
110	L1/P/2/N2	Adult	L1	Low	1.100	1	1.0250	2	A	31.3	31.3	31.3	31.3	31.3	31.3	31.3	15.4	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30	29.1	30.6	29.5	27.7	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	27	27.7	31.1	29	29.5	15.4	31.7	28.2	30.4	22.5	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	27	16.3	31.3	31.7	32.4	31.1	27.2	15.4	33.8	33.8	32.7	32.7	32.7	32.7	32.7	38.2	32	32	32	32	26.3	27	24.1	26.4	20.3	32.9	32.9	32.9	32.9	32.9	32.9	32.7	32.7	32.7	32.7	32.7	32.7
111	L1/P/2/N20	Adult	L1	Low	1.100	1	1.0250	2	B	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	26.4	27.2	27.2	34	34	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3
112	L1/P/2/N21	Juvenile	L1	Low	1.100	1	1.0250	2	B	31.9	31.9	31.9	21.5	20.5	20.5	29.8	19.8	19.8	31.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3
113	L1/P/2/N22	Adult	L1	Low	1.100	1	1.0250	2	B	27.6	27.9	27.9	28.2	28.2	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34	34	34	34	34	31.3	36.7	34.3	29.6	32.6	32.1	28.9	17.5	34.6	24.7	33	33	25.6	33.6	37.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3
114	L1/P/2/N23	Adult	L1	Low	1.100	1	1.0250	2	B	24.2	24.2	24.2	27.4	27.4	28.9	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	32.3	32.3	32.3	32.3	29.6	28.2	28.2	32.8	31.6	32.6	31.6	33	26.6	26.9	32.6	17.5	26.9	33	35	35.3	35.3	35.3	21.2	26.9	31.6	31.6	21.2	28.9	32.3	32.3	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6
115	L1/P/2/N25	Adult	L1	Low	1.100	1	1.0250	2	B	32.3	31.6	29.6	30.9	31.4	30.9	30.6	30.4	30.3	29.6	29.6	29.9	30.1	33.6	33.3	32.6	32.6	31.1	30.8	30.8	28.6	27.2	23.2	23.4	23.5	23.5	23.5	23.5	23.5	23.5	23.5	20.2	20.2	20.2	20.2	21.9	21.9	24.9	24.9	24.9	24.9	24.9	24.9	26.9	26.9	27.2	27.6	28.6	30.3	30.3	30.3	30.3	30.3	30.3	31.6	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	35	35	35	35	35	35	35	35
116	L1/P/2/N26	Adult	L1	Low	1.100	1	1.0250	2	B	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6
117	L1/P/2/N27	Adult	L1	Low	1.100	1	1.0250	2	B	22.5	22.5	22.9	26.9	26.9	30.3	30.3	30.3	31.1	31.1	31.1	31.1	31.1	31.1	31.1	30.8	30.8	30.8	30.8	30.8	30.8	30.8	30.8	32.6	32.6	31.9	30.4	30.4	30.4	33.6	33.8	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	25.6	30.9	37.7	28.6	34	26.2	31.3	34.6	33.3	33.3	33.3	33.3	33.3
118	L1/P/2/N28	Adult	L1	Low	1.100	1	1.0250	2	B	24.9	24.9	24.9	24.9	31.3	31.3	31.3	31.3	31.3	32.6	32.6	32.6	32.6	33	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36.8	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	35.6	35.6	35.6	35.6	35.6	31.6	35.6	36.3	36.3	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7
119	L1/P/2/N3	Adult	L1	Low	1.100	1	1.0250	2	A	35.3	35.3	35.3	35.3	35.3	35.3	34.9	33.3	29.7	35.6	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	35.1	21	29.3	28.1	33.1	22.5	37.8	24.6	28.4	27	34.2	29.3	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	34.2	34	27.2	35.1	33.5	33.5	33.5	32	38.2	22.6	15.8	22.8	32.7	24.8	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.5	34.5	34.5	24.6	30.9	33.5	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3
120	L1/P/2/N4	Adult	L1	Low	1.100	1	1.0250	2	A	35.3	34.2	34.2	34.2	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	26.6	27.7	27.7	27.7	27.7	30.4	30.4	30.4	30.4	30.4	28.4	37.3	34	32.7	29.5	28.8	28.8	29.5	30.8	25.7	17.6	30.6	16	20.8	22.8	25.5	37.8	16.9	25.5	24.1	16.9	25.5	33.8	29.9	22.5	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	34.2	33.6	33.6	33.6	33.6	33.6	33.6	33.6	31.8	31.8	31.8	31.8	23.4	37.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8
121	L1/P/2/N5	Adult	L1	Low	1.100	1	1.0250	2	A	33.1	33.1	33.1	30.8	32	37.8	19.6	33.1	31.7	15.4	24.8	22.1	31.7	26.3	32.4	31.3	31.3	20.5	36.7	22.6	28.4	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	32.4	31.1	32.4	32.4	32.4	19.9	29.1	27.2	30	21	27.7	34.2	33.5	33.5	19.9	15.4	32.4	32.4	32.4	32.4	37.8	33.8	33.8	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1
122	L1/P/2/N6	Adult	L1	Low	1.100	1	1.0250	2	A	15.4	17.6	21.2	26.3	26.3	26.3	26.3	26.3	26.3	27.3	31.8	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	35.6	29.5	29.5	29.5	29.5	29.5	29.5	33.8	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	24.8	28.1	27	25.3	26.3	30.8	29.1	19.8	30.9	27	29.9	15.4	31.3	15.4	15.4	33.1	24.1	32.4	29.1	34.5	33.1	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6
123	L1/P/2/N7	Adult	L1	Low	1.100	1	1.0250	2	A	31.7	38.2	36.9	36.7	36.2	36.2	35.5	35.5	35.5	35.5	35.5	35.5	32	32	30.9	33.5	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	32	32	29.9	28.8	27.7	31.3	29.5	31.3	28.2	15.4	27	28.1	37.8	22.5	30.6	27	32.7	37.8	31.3	30.2	33.3	37.8	22.8	27.7	17.2	15.4	35.6	28.4	29.1	32	34.9	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	31.3	34.9	27.5	29.9	31.3	38.2	35.3	34.5	31.7	22.6	33.3	33.6	21.9	29.1	32.7	15.8	15.4	15.4	21.2	29.1
124	L1/P/2/N8	Adult	L1	Low	1.100	1	1.0250	2	A	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	27	27	27	27	27	27	32	32	32	26.1	31.5	31.7	31.7	31.7	31.7	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	29.5	35.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	20.7	29.7	31.8	22.5	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	15.4	32	32	30.2	30.9	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7
125	L1/P/2/N9	Adult	L1	Low	1.100	1	1.0250	2	A	25.3	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	35.6	35.6	35.6	33.3	33.3	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	31.8	27	29.5	33.1	26.8	29.5	31.8	29	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	22.5	32	32	32	32	32	32	32	32	32	32	24.6	15.4	29	29.7	33.8	33.8	33.8	28.4	33.5	33.5	33.5	33.5	33.5	33.5	16	26.4	37.4	33.8	33.8	33.3	33.3	33.3	33.3
126	L1/P/N1	Adult	L1	Low	1.100	1	1.0250	1	A	16.9	16.9	18	29.1	32.7	32.7	32.7	33.1	33.1	33.1	33.1	33.1	33.1	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1
127	L1/P/N10	Juvenile	L1	Low	1.100	1	1.0250	1	A	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	32.7	32.7	32.7	32.7
128	L1/P/N11	Juvenile	L1	Low	1.100	1	1.0250	1	A	27.7	21.4	28.8	28.8	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	33.5	33.5	33.5	33.5	33.5	33.5	33.5	32.4	32	32	32	32	32	32	32	32	32	32	32	32	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	NA	35.1	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1
129	L1/P/N12	Juvenile	L1	Low	1.100	1	1.0250	1	A	34.7	34.7	34.7	34.7	34.2	34.2	34.2	34.2	33.6	33.6	33.6	33.6	33.6	33.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	34.2	34.2	34.2	34.2	34.2	34.2	34.2	35.3	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6
130	L1/P/N13	Juvenile	L1	Low	1.100	1	1.0250	1	A	35.6	33.8	33.8	33.8	21.9	15.4	21.9	23.4	23.4	23.4	23.4	25	25	25	25	25	28.6	28.6	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	32	32	32	32	32	32	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3
131	L1/P/N14	Juvenile	L1	Low	1.100	1	1.0250	1	A	35.6	35.6	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	31.3	31.3	16.5	29.1	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	37.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32	32	32	32	32	32	32	32
132	L1/P/N15	Adult	L1	Low	1.100	1	1.0250	1	A	29.1	29.5	21.6	25.3	25.5	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	26.3	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	25.7	25.7	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	28.4	28.4	28.4	28.4	28.4	28.4	28.4	28.4	28.4	28.4	28.4	28.4	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	32	32	32	32	32	32
133	L1/P/N17	Adult	L1	Low	1.100	1	1.0250	1	A	15.8	15.8	15.8	15.8	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	29	29	29	27	27	27	27	27	27	27	24.4	24.4	24.4	24.4	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	32.9	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	32	32	32	32	32	32	32	32	32	32	29.5	29.5	29.5	29.5	29.5	29.5	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	35.5	35.1	35.1	35.1	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.1	33.1	33.1	33.1	33.1
134	L1/P/N18	Adult	L1	Low	1.100	1	1.0250	1	A	18.9	18.9	18.5	21.2	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	31.1	17	22.1	22.1	38	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	23.7	15.4	20.1	16.7	18.5	27	27	34.9	34.9	37.3	17.2	17.2	25.9	25.9	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	24.8	34.9	26.3	26.3
135	L1/P/N19	Adult	L1	Low	1.100	1	1.0250	1	A	37.8	31.1	32.7	29.5	29.5	35.1	32	31.3	31.5	31.5	31.5	31.5	31.5	32.9	34.7	34.7	34.7	34.7	32	32	32	19.6	34.4	32.4	29.1	30.8	26.1	34.5	34.5	31.8	32	29.9	31.7	32	32	32	32	19.8	31.1	32.4	32.2	32.2	29.5	32.6	33.6	37.8	33.8	27.2	35.5	32.9	32.9	32.9	32.9	32.9	32.9	32	31.3	32	32.4	32.4	34.2	30.8	32.7	29.5	31.1	32.7	30.2	32.6	22.8	33.1	32.7	31.3	31.3	31.3	31.3	21.4	32	NA	23.4	28.1	34.5	15.4	32.9	29.3	35.1	31.8	28.2	32.6	32.6	32.6
136	L1/P/N2	Juvenile	L1	Low	1.100	1	1.0250	1	A	30.6	30.6	30.6	30.6	23.4	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	27.3	27.3	30.8	30.8	30.8	30.8	18	30	30	30	33.5	33.5	28.4	32.4	32.4	32.7	17.2	29.5	35.6	24.4	30.2	32.7	31.3	34.9	15.4	29.1	37.8	15.4	31.3	31.3	34.5	17.6	27.7	32	34.9	34.9
137	L1/P/N20	Juvenile	L1	Low	1.100	1	1.0250	1	A	22.1	29.1	29.1	34.9	34.9	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	27.7	32.6	32	32	32	32	32	18.7	29.1	29.1	-66.8	38.2	38.2	37.8	37.1	36.4	36.4	36.4	36.4	36.4	36.4	36.4	35.1	35.1	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9
138	L1/P/N21	Adult	L1	Low	1.100	1	1.0250	1	A	26.8	29.1	34.2	25.3	37.8	29	27	29.5	25.5	33.1	33.5	28.1	28.1	29.7	27.5	26.3	24.1	25	27	30.6	27.5	29.1	30	30	26.8	27.7	32	29	29	32.7	27	32	28.1	28.1	32.4	27.2	16.1	28.4	30.6	27	28.4	27.3	28.8	28.1	30.2	27	28.8	30.4	28.8	29.5	38.2	29.5	37.8	28.4	21.7	28.4	30.6	30.2	28.4	28.1	29.1	29.1	32	22.3	29.9	28.8	29.1	36	17.6	32.7	28.1	30.6	17.6	28.8	26.6	28.8	27.3	28.4	28.1	32	36.4	29.9	29.9	29.9	29.9	29.9	30.6	27.3	28.4	28.4
139	L1/P/N22	Adult	L1	Low	1.100	1	1.0250	1	A	24.8	36	31.3	33.5	33.5	29.9	29.9	29.9	29.9	29.9	26.4	28.1	29.5	28.1	29.9	26.3	28.4	30.6	30.6	30.6	30.6	30.6	33.5	33.5	33.5	33.5	33.5	30.9	30.9	30.9	30.9	25.7	32	32	33.6	28.1	29.7	37.4	32	28.4	25.5	28.4	18	28.8	30.6	35.3	25.5	25.5	25.5	25.5	29.1	29.1	28.4	37.4	33.5	28.4	32.4	32.7	32.7	29.9	29.9	36	34.5	34.2	32	32	28.6	29.9	23.7	29.9	32.7	29.7	32.7	33.8	33.8	33.8	28.2	28.4	28.4	30.6	30.4	15.4	30.6	30.6	34.2	28.1	29.9	32.4	30.6	30.6
140	L1/P/N23	Adult	L1	Low	1.100	1	1.0250	1	A	30.9	15.8	28.4	28.8	28.8	28.8	28.8	28.8	30	31.8	31.8	27.7	29.9	29.9	29.9	29.9	29.9	32	29.9	29.9	27.3	28.1	32.4	29.1	32	32	30.2	30.2	30.2	30.2	30.2	30.2	29.1	29.9	29.9	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	32.7	32.7	32.7	29.9	32.7	32	32	32	32	32	33.5	33.5	33.5	33.5	33.5	33.5	33.5	25.9	29.1	34.2	34.2	34.2	34.2	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	28.4	32	32	32	32
141	L1/P/N24	Adult	L1	Low	1.100	1	1.0250	1	A	25.9	25.9	23.9	38.2	37.1	35.6	34.9	34.9	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	32	32	32	32	32	32	32	36	29.9	30.6	30.6	30.6	30.6	30.6	30.6	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	32.7	32.7	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5
142	L1/P/N26	Adult	L1	Low	1.100	1	1.0250	1	A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.7	36.7	30.2	23.7	25.5	29.9	30	37.8	29.1	29.1	29.1	29.1	29.1	29.1	29.1	29.1
143	L1/P/N27	Juvenile	L1	Low	1.100	1	1.0250	1	A	25.2	27.7	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	21.2	28.4	28.4	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	38	33.5	33.5	31.7	31.7	31.7	31.7	31.7	31.7	31.7	31.7	31.7	31.7	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	38	32	32	32	32
